SOURCE_ID	parallax	ra	dec	mg	mbp	mrp	bp_rp	phot_g_mean_flux	phot_bp_mean_flux	phot_rp_mean_flux	ag_gspphot	ebpminrp_gspphot	pmra	pmdec
511774563399666560	0.339827568517668	28.31552878977875	62.54680382912336	-4.7489757477880055	-2.722685688698345	-3.3647726714253956	-0.339113	3298028.037715641	1936459.6391588878	2030413.3800475432	1.797	0.9812	-1.1239999547670436	-0.4237393636814796
3424748785153094784	0.4247132958441166	89.69510736237274	23.250782885132	-4.7155889685620185	-2.6697767193783637	-3.3411157544125434	-0.31236094	4965168.283390848	2880841.0664326577	3103103.4422421996	1.8036	0.9837	0.2293558944439354	-2.1581183262129824
4317224679872895488	0.20264211092049778	294.9226114350477	14.048128418756447	-4.767602787995747	-2.7315635547880444	-3.3566465244535717	-0.36171705	1182843.5305887647	694227.375386093	716598.8417582471	1.8063	0.9868	-1.8058259333010338	-5.7164740893579555
2027000095860295296	0.4283455068267308	297.0522444028628	26.08474249344569	-4.7333795952499536	-1.3897883820236352	-2.5990970062912124	-0.34599137	2000445.9591330192	901406.271368092	1593622.2543145972	2.8269	1.5553	-1.5635871847198155	-4.658560907023914
2020309155294416512	0.24230000681571615	295.05199700295276	23.627883704065784	-4.773775918996581	-0.9542628364923083	-2.373759372747191	-0.3537035	464947.5650821399	193120.799636046	414351.52853639	3.2144	1.7732	-2.38011714197194	-5.7893381126786485
2004980279564258944	0.2584109318979093	334.6910669822533	54.27211116692752	-4.810715815263615	-3.447250863748417	-3.7627663819368937	-0.37648445	3280158.6622237777	2182422.831049482	1693895.6724217592	1.2699	0.692	-3.1932892177278323	-2.678928558579238
2005174755686359552	0.2913141810511071	335.8696592406727	55.251781562853225	-4.724380460841118	-3.37548705683416	-3.7313601647443164	-0.3191269	3965174.309101968	2596181.742244196	2091343.9794351691	1.2379	0.675	-3.52578971021881	-2.7037019700418012
2174816721098352896	0.18624690323911183	327.45074941844365	55.149544564071185	-4.725531069827149	2.495852024960449	-0.36385199267871116	-0.28249598	29715.113122172505	4756.131373413629	38448.30756393597	5.5809	3.1422	-3.776260458270937	-3.424196572774894
2171011242644357120	0.23088875970783573	322.6874507235756	50.2922038636918	-4.747881675900757	-0.36961534136706575	-2.0070922624486087	-0.3619231	285538.6681550812	102345.50395849223	268411.1733896663	3.6131	1.9994	-4.873541250099652	-5.123813559705796
430554120495997568	0.3516151965294462	7.199853100383804	62.50626980602166	-4.70716050534867	-3.498737248474585	-3.7496632662358156	-0.36937398	6226243.862791715	4236887.813737013	3098552.3341974327	1.1393	0.6203	-2.356772232764301	-0.7221054563239094
458374719617270272	0.41819219587189593	34.79295821279343	57.12710270323532	-4.659023018760195	-2.7712045630640887	-3.375344844741335	-0.3077597	5154989.697745299	3066554.327589157	3104902.01429829	1.6727	0.9119	-0.6399364185984067	-0.9292432582813666
447111631732230656	0.3366878076792817	46.555728293786935	53.99733509882483	-4.697747528782756	-1.9648266436966964	-2.9078512790116378	-0.34897542	1848164.9045000728	945806.7869139096	1308439.0298332234	2.3544	1.292	0.33841553465102386	-0.966916729850283
3404525334641915136	0.43877802069020444	83.39002834494266	23.34226317918442	-4.705868714921084	-2.9045565067454246	-3.447240108124819	-0.33721638	6254952.841395091	3817061.13470567	3652111.379383056	1.6139	0.8799	-1.0640351745748482	-1.5840022465570605
3345950879898371712	0.5464928604165411	92.232590146216	15.705006650379222	-4.7372718007574885	-2.8105392606268733	-3.3903575093756526	-0.36278176	9003770.343283202	5430021.695432071	5376134.902122582	1.7265	0.9426	-0.8822469316089259	-10.51029269248586
3114061330681438464	0.276511175288924	102.99355450929912	1.3761785451224127	-4.695292359889148	-3.0985778632765992	-3.5322679343825563	-0.35830992	2852127.9879629943	1812480.5592079472	1568522.86346811	1.4533	0.792	-0.9423862289047148	-0.013337615909216297
3377474634180963584	0.5800954109516208	95.13568948255471	23.317308114206227	-4.7111955731093715	-1.4658804981887172	-2.623700246113523	-0.36028028	3825286.5760771246	1773242.249581613	2989764.6349562993	2.7594	1.5181	0.4356898660076962	-2.581770418898806
4293643144726603648	0.36832535297655955	289.42835951320933	5.119173748751784	-4.682073208865134	-2.261602017458884	-3.0818124743070285	-0.33158958	2750927.464981159	1487719.1254152115	1838003.5641940527	2.1019	1.1518	-0.05318187941998678	-3.099797320608593
2018371162951617152	0.23454962529092	294.78931819296673	21.991115076575152	-4.684493225253577	2.020376521908288	-0.5907684976229621	-0.33575487	61141.14214126199	11687.876253216045	75151.02558680261	5.2572	2.9469	-2.5446445715330928	-5.849136388944692
2025106079688221696	0.22933652566069343	294.5477998462772	27.18684874441106	-4.714683645094214	-2.835722081983862	-3.3760482004531003	-0.3800739	1613936.9407836385	978705.8993679557	934380.5409667515	1.6847	0.9204	-3.863348342348446	-6.434898335350885
