plate_id,plate_num,emulsion,filter,date_orig,observatory
64153,ES09683a  ,Kodak 098-04,OG5(=550),1992-01-03,European Southern Observatory
64154,ES09686a  ,Kodak 098-04,OG5(=550),1992-01-04,European Southern Observatory
64155,ES09690a  ,Kodak 098-04,OG5(=550),1992-01-05,European Southern Observatory
64156,ES09691a  ,Kodak 098-04,OG5(=550),1992-01-05,European Southern Observatory
64157,ES09696a  ,Kodak 098-04,OG5(=550),1992-01-06,European Southern Observatory
64158,ES09697a  ,Kodak 098-04,OG5(=550),1992-01-06,European Southern Observatory
64159,ES09701a  ,Kodak 098-04,OG5(=550),1992-01-07,European Southern Observatory
64160,ES09702a  ,Kodak 098-04,OG5(=550),1992-01-07,European Southern Observatory
64161,ES09706a  ,Kodak 098-04,OG5(=550),1992-01-08,European Southern Observatory
64162,ES09707a  ,Kodak 098-04,OG5(=550),1992-01-08,European Southern Observatory
64163,ES09711a  ,Kodak 098-04,OG5(=550),1992-01-09,European Southern Observatory
64164,ES09712a  ,Kodak 098-04,OG5(=550),1992-01-09,European Southern Observatory
64165,ES09718a  ,Kodak 098-04,OG5(=550),1992-01-11,European Southern Observatory
64166,ES09719a  ,Kodak 098-04,OG5(=550),1992-01-11,European Southern Observatory
64167,ES09720a  ,Kodak 098-04,OG5(=550),1992-01-11,European Southern Observatory
64168,ES09730a  ,Kodak 098-04,OG5(=550),1992-01-25,European Southern Observatory
64169,ES09744a  ,Kodak 098-04,OG5(=550),1992-01-30,European Southern Observatory
64170,ES09748a  ,Kodak 098-04,OG5(=550),1992-01-31,European Southern Observatory
64171,ES09749a  ,Kodak 098-04,OG5(=550),1992-01-31,European Southern Observatory
64172,ES09756a  ,Kodak 098-04,OG5(=550),1992-02-01,European Southern Observatory
64175,ES09765a  ,Kodak 098-04,OG5(=550),1992-02-03,European Southern Observatory
64176,ES09769a  ,Kodak 098-04,OG5(=550),1992-02-04,European Southern Observatory
64177,ES09770a  ,Kodak 098-04,OG5(=550),1992-02-04,European Southern Observatory
64178,ES09771a  ,Kodak 098-04,OG5(=550),1992-02-04,European Southern Observatory
64179,ES09776a  ,Kodak 098-04,OG5(=550),1992-02-05,European Southern Observatory
64180,ES09777a  ,Kodak 098-04,OG5(=550),1992-02-05,European Southern Observatory
64181,ES09778a  ,Kodak 098-04,OG5(=550),1992-02-05,European Southern Observatory
64182,ES09787a  ,Kodak 098-04,OG5(=550),1992-02-07,European Southern Observatory
