local_id,ref_number,magcal_magdep,magcal_magdep_rms,limiting_mag_local,pos.ra,pos.dec,fwhm_world,ellipticity,theta_j2000,iso_area_world,aflags,bflags,local_bin_reject_flag,series,platenum,mosnum,solnum,expnum,image_x,image_y,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,magcal_local_error,drad_rms2,extinction,magcor_local,blended_mag,a2flags,b2flags,npoints_local,local_bin_index,spatial_bin,magdep_bin,mag_iso,mag_aper,mag_auto,flux_iso,background,flux_max,fwhm_image,kron_radius,sxt_iso0,sxt_iso1,sxt_iso2,sxt_iso3,sxt_iso4,sxt_iso5,sxt_iso6,sxt_iso7,time_accuracy,catalog_ra,catalog_dec,pm_ra_cosdec,pm_dec,plate_dist,sxt_number,gsc_bin_index,dasch_photdb_version_id,dasch_mask_index,reject,exp_local_id,year
31,420061551442725,12.404331,0.097379,13.468598,301.564305,44.4574,0.006326,0.145,21.93,3e-05,128,1349453824,0,i,13302,0,0,0,4745.418,4845.973,12.811559,0.155366,12.390154,0.123037,0.17732,1.538469,0.414,-0.026123,,0,0,83,563,5,460,-12.3719,-11.0001,-12.4837,88872.32,3933.077,1376.208,12.72,3.95,120,115,101,82,66,51,27,11,0.0007,301.56485,44.45715,-11.2,-9.2,3.6343,95368,143663284,10,0,0,220,1895.6650429568792
33,420061551442725,12.149576,0.124208,14.429288,301.564742,44.456971,0.004658,0.149,-0.48,4.3e-05,128,1349453824,0,i,13317,0,0,0,4363.81,15253.689,12.734306,0.236312,12.20711,0.136932,0.179759,1.463134,0.403,0.113528,,0,0,83,1712,4,688,-12.8522,-11.4969,-12.9544,138324.6,4485.354,1860.973,9.36,3.5,167,144,125,107,87,63,45,24,0.0007,301.56485,44.45715,-11.2,-9.2,3.0351,659429,143663284,10,0,0,223,1895.6704296865166
34,420061551442725,12.323084,,13.115934,301.564481,44.456794,0.008598,0.332,79.97,2.2e-05,67108864,1349386243,0,i,13366,2,0,0,4684.691,4917.387,12.794154,0.23197,12.323084,0.225736,0.17084,1.944778,0.525,-0.035642,,0,0,67,563,5,460,-11.0141,-9.8296,-11.1422,25448.12,6278.322,572.473,17.29,3.5,87,82,62,58,39,22,8,2,0.0007,301.56485,44.45715,-11.2,-9.2,3.6218,198528,143663284,10,0,0,224,1895.673501311431
37,420061551442725,12.172433,,12.727757,301.564845,44.457212,0.005543,0.549,-66.76,1.4e-05,0,1349451776,0,a,1670,0,0,0,21903.045,2785.618,12.547928,0.190315,12.172433,0.126768,0.088326,0.382283,0.4,-0.026029,,0,0,35,184,8,,-13.3584,-12.6234,-13.4368,220473.8,4246.281,1229.847,30.55,3.5,406,380,331,272,197,137,60,27,0.0075,301.56485,44.45715,-11.2,-9.2,3.1787,153751,143663284,8,0,0,228,1895.7031659466124
38,420061551442725,12.293646,0.099946,13.015985,301.564405,44.457195,0.008912,0.389,57.73,4.2e-05,128,1349453824,0,i,13578,1,0,0,4344.637,5080.496,12.73694,0.147052,12.322925,0.123409,0.158533,1.418686,0.4,-0.005797,,0,0,55,562,5,460,-12.6249,-10.9557,-12.7278,112193.5,5065.177,1162.908,17.92,3.5,168,160,148,120,105,82,63,29,0.0007,301.56485,44.45715,-11.2,-9.2,3.6518,173470,143663284,10,0,0,229,1895.7522971964404
39,420061551442725,12.21285,,12.819158,301.565415,44.457474,0.008036,0.307,51.12,2.1e-05,128,1349451776,0,i,13780,0,0,0,4753.324,5358.157,12.64939,0.193399,12.21285,0.190592,0.12542,2.660128,0.467,-0.06856,,0,0,48,613,5,460,-11.853,-10.6451,-12.1352,55107.06,3193.509,1230.102,16.16,3.5,81,73,64,51,31,20,9,3,0.0007,301.56485,44.45715,-11.2,-9.2,3.4199,105494,143663284,10,0,0,231,1895.8481388692678
41,420061551442725,12.377251,0.145324,13.228934,301.564926,44.457108,0.008028,0.061,52.63,6.4e-05,128,1349453824,0,i,14711,2,0,0,6155.562,3568.414,12.9871,0.15495,12.466034,0.166047,0.233629,1.562704,0.674,-0.147346,,0,0,63,417,6,823,-13.5021,-11.3699,-13.5734,251671.3,4292.01,1822.539,16.14,3.5,256,235,202,170,142,116,74,16,0.0007,301.56485,44.457146,-11.2,-9.2,3.9033,113949,143663284,10,0,0,234,1896.2321976536616
43,420061551442725,11.97544,,14.553418,301.564778,44.45732,0.005824,0.433,-19.53,3.8e-05,128,1349451779,0,i,15463,0,0,0,8547.601,14900.537,12.432794,0.128948,11.97544,0.158664,0.143443,1.423269,0.433,0.02537,,0,0,72,1674,2,693,-13.072,-11.8906,-13.2049,169357.0,3872.863,2765.868,11.69,3.52,152,134,109,80,67,48,35,21,0.0007,301.56485,44.457146,-11.2,-9.2,1.9582,368332,143663284,10,0,0,244,1896.5333764791237
44,420061551442725,12.333339,,14.284861,301.564812,44.457289,0.005902,0.354,86.09,2.8e-05,128,1349451776,0,i,15539,0,0,0,8998.522,5518.839,12.756356,0.132646,12.333339,0.092127,0.107628,1.272699,0.399,0.034685,,0,0,53,625,3,465,-12.9676,-11.6745,-13.0607,153828.1,3720.77,2546.979,11.86,3.5,112,108,98,84,74,58,34,12,0.0007,301.56485,44.457146,-11.2,-9.2,2.7219,90796,143663284,10,0,0,248,1896.5767854620128
45,420061551442725,12.145464,0.154306,13.315705,301.564799,44.457194,0.009671,0.55,38.09,3.9e-05,128,1349453827,0,i,15728,0,0,0,1736.314,5231.081,12.773674,0.312218,12.273121,0.240208,0.199495,2.214807,0.399,0.075137,,0,0,72,554,7,461,-12.65,-11.0233,-12.8244,114817.7,3560.331,1532.092,19.5,3.83,159,146,126,104,72,45,23,9,0.0007,301.56485,44.457146,-11.2,-9.2,4.4922,99916,143663284,10,0,0,251,1896.6369354469546
